team1,team2,match_date,toss_winner,toss_decision,winner,player_of_match,venue,city,team1_players,team2_players,season,match_number,match_type,result,result_margin,target_runs,target_overs,super_over,Team,Opponent,is_winner,is_toss_winner,team_role,toss_advantage,high_pressure_match
Punjab Kings,Chennai Super Kings,2014-05-07,Chennai Super Kings,field,Punjab Kings,GJ Maxwell,Barabati Stadium,Cuttack,"V Sehwag, Mandeep Singh, GJ Maxwell, DA Miller, GJ Bailey, MG Johnson, WP Saha, R Dhawan, AR Patel, M Kartik, Sandeep Sharma","DR Smith, BB McCullum, SK Raina, RA Jadeja, F du Plessis, MS Dhoni, M Manhas, R Ashwin, BW Hilfenhaus, IC Pandey, MM Sharma",2014,28,League,wickets,8.0,161.0,20.0,N,Punjab Kings,Chennai Super Kings,1,0,Defending,0,1
Delhi Capitals,Kolkata Knight Riders,2014-05-07,Delhi Capitals,bat,Kolkata Knight Riders,G Gambhir,Feroz Shah Kotla,Delhi,"Q de Kock, M Vijay, KP Pietersen, KD Karthik, JP Duminy, LR Shukla, KM Jadhav, WD Parnell, S Nadeem, Mohammed Shami, S Kaul","RV Uthappa, G Gambhir, MK Pandey, JH Kallis, Shakib Al Hasan, YK Pathan, RN ten Doeschate, SA Yadav, R Vinay Kumar, SP Narine, UT Yadav",2014,29,League,runs,44.0,232.0,20.0,N,Delhi Capitals,Kolkata Knight Riders,0,1,Defending,0,0
Rajasthan Royals,Sunrisers Hyderabad,2014-05-08,Rajasthan Royals,field,Sunrisers Hyderabad,B Kumar,"Sardar Patel Stadium, Motera",Ahmedabad,"AM Rahane, KK Nair, SV Samson, SR Watson, STR Binny, SPD Smith, R Bhatia, JP Faulkner, KW Richardson, DS Kulkarni, PV Tambe","S Dhawan, AJ Finch, KL Rahul, NV Ojha, DA Warner, MC Henriques, IK Pathan, KV Sharma, DW Steyn, A Mishra, B Kumar",2014,30,League,runs,32.0,135.0,20.0,N,Rajasthan Royals,Sunrisers Hyderabad,0,1,Chasing,0,0
Royal Challengers Bengaluru,Punjab Kings,2014-05-09,Royal Challengers Bengaluru,field,Punjab Kings,Sandeep Sharma,M Chinnaswamy Stadium,Bangalore,"CH Gayle, PA Patel, V Kohli, S Rana, AB de Villiers, Yuvraj Singh, JA Morkel, MA Starc, HV Patel, VR Aaron, YS Chahal","V Sehwag, Mandeep Singh, GJ Maxwell, DA Miller, GJ Bailey, WP Saha, MG Johnson, AR Patel, Shivam Sharma, L Balaji, Sandeep Sharma",2014,31,League,runs,32.0,199.0,20.0,N,Royal Challengers Bengaluru,Punjab Kings,0,1,Chasing,0,0
Mumbai Indians,Chennai Super Kings,2014-05-10,Chennai Super Kings,field,Chennai Super Kings,DR Smith,Wankhede Stadium,Mumbai,"LMP Simmons, CM Gautam, AT Rayudu, RG Sharma, KA Pollard, CJ Anderson, AP Tare, Harbhajan Singh, SL Malinga, JJ Bumrah, P Kumar","DR Smith, BB McCullum, SK Raina, F du Plessis, MS Dhoni, RA Jadeja, M Manhas, R Ashwin, IC Pandey, MM Sharma, S Badree",2014,32,League,wickets,8.0,43.0,5.0,N,Mumbai Indians,Chennai Super Kings,0,0,Defending,0,0
Delhi Capitals,Sunrisers Hyderabad,2014-05-10,Sunrisers Hyderabad,field,Sunrisers Hyderabad,DW Steyn,Feroz Shah Kotla,Delhi,"Q de Kock, KP Pietersen, MA Agarwal, KD Karthik, LR Shukla, JP Duminy, KM Jadhav, R Shukla, Mohammed Shami, Imran Tahir, S Kaul","AJ Finch, S Dhawan, DA Warner, NV Ojha, KL Rahul, MC Henriques, IK Pathan, KV Sharma, DW Steyn, A Mishra, B Kumar",2014,33,League,wickets,4.0,158.0,20.0,N,Delhi Capitals,Sunrisers Hyderabad,0,0,Defending,0,0
Royal Challengers Bengaluru,Rajasthan Royals,2014-05-11,Royal Challengers Bengaluru,bat,Rajasthan Royals,JP Faulkner,M Chinnaswamy Stadium,Bangalore,"V Kohli, CH Gayle, VH Zol, AB de Villiers, Yuvraj Singh, JA Morkel, PA Patel, MA Starc, VR Aaron, YS Chahal, AB Dinda","AM Rahane, KK Nair, SR Watson, STR Binny, SV Samson, SPD Smith, JP Faulkner, R Bhatia, KW Richardson, PV Tambe, R Tewatia",2014,34,League,wickets,9.0,150.0,20.0,N,Royal Challengers Bengaluru,Rajasthan Royals,0,1,Defending,0,0
Punjab Kings,Kolkata Knight Riders,2014-05-11,Kolkata Knight Riders,field,Kolkata Knight Riders,G Gambhir,Barabati Stadium,Cuttack,"V Sehwag, Mandeep Singh, WP Saha, GJ Maxwell, DA Miller, GJ Bailey, R Dhawan, MG Johnson, AR Patel, P Awana, Sandeep Sharma","RV Uthappa, G Gambhir, MK Pandey, JH Kallis, RN ten Doeschate, YK Pathan, SA Yadav, PP Chawla, M Morkel, UT Yadav, SP Narine",2014,35,League,wickets,5.0,191.0,20.0,N,Punjab Kings,Kolkata Knight Riders,0,0,Defending,0,0
Sunrisers Hyderabad,Mumbai Indians,2014-05-12,Sunrisers Hyderabad,bat,Mumbai Indians,AT Rayudu,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,"AJ Finch, S Dhawan, KL Rahul, DA Warner, NV Ojha, MC Henriques, IK Pathan, KV Sharma, DW Steyn, A Mishra, B Kumar","LMP Simmons, CM Gautam, AT Rayudu, RG Sharma, KA Pollard, CJ Anderson, AP Tare, Harbhajan Singh, SL Malinga, JJ Bumrah, PP Ojha",2014,36,League,wickets,7.0,158.0,20.0,N,Sunrisers Hyderabad,Mumbai Indians,0,1,Defending,0,0
Royal Challengers Bengaluru,Delhi Capitals,2014-05-13,Delhi Capitals,field,Royal Challengers Bengaluru,Yuvraj Singh,M Chinnaswamy Stadium,Bangalore,"CH Gayle, PA Patel, V Kohli, AB de Villiers, Yuvraj Singh, S Rana, VH Zol, MA Starc, M Muralitharan, YS Chahal, AN Ahmed","Q de Kock, M Vijay, MA Agarwal, KP Pietersen, JP Duminy, KD Karthik, KM Jadhav, R Shukla, Mohammed Shami, Imran Tahir, S Kaul",2014,37,League,wickets,5.0,149.0,20.0,N,Royal Challengers Bengaluru,Delhi Capitals,1,0,Defending,0,1
Chennai Super Kings,Rajasthan Royals,2014-05-13,Rajasthan Royals,bat,Chennai Super Kings,RA Jadeja,JSCA International Stadium Complex,Ranchi,"DR Smith, BB McCullum, SK Raina, F du Plessis, R Ashwin, MS Dhoni, RA Jadeja, V Shankar, IC Pandey, MM Sharma, S Badree","Ankit Sharma, SR Watson, AM Rahane, KK Nair, STR Binny, SPD Smith, JP Faulkner, DH Yagnik, R Bhatia, KK Cooper, PV Tambe",2014,38,League,runs,16.0,187.0,20.0,N,Chennai Super Kings,Rajasthan Royals,1,0,Chasing,0,1
Kolkata Knight Riders,Mumbai Indians,2014-05-14,Kolkata Knight Riders,field,Kolkata Knight Riders,RV Uthappa,Barabati Stadium,Cuttack,"RV Uthappa, G Gambhir, MK Pandey, YK Pathan, Shakib Al Hasan, RN ten Doeschate, SA Yadav, PP Chawla, M Morkel, UT Yadav, SP Narine","LMP Simmons, CM Gautam, AT Rayudu, RG Sharma, CJ Anderson, KA Pollard, AP Tare, Harbhajan Singh, SL Malinga, JJ Bumrah, PP Ojha",2014,39,League,wickets,6.0,206.0,20.0,N,Kolkata Knight Riders,Mumbai Indians,1,1,Chasing,1,1
Sunrisers Hyderabad,Punjab Kings,2014-05-14,Punjab Kings,field,Punjab Kings,WP Saha,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,"AJ Finch, S Dhawan, NV Ojha, DA Warner, MC Henriques, IK Pathan, KV Sharma, KL Rahul, DW Steyn, A Mishra, B Kumar","V Sehwag, M Vohra, WP Saha, GJ Maxwell, DA Miller, GJ Bailey, AR Patel, MG Johnson, Shivam Sharma, R Dhawan, Sandeep Sharma",2014,40,League,wickets,6.0,142.0,20.0,N,Sunrisers Hyderabad,Punjab Kings,0,0,Defending,0,0
Rajasthan Royals,Delhi Capitals,2014-05-15,Delhi Capitals,field,Rajasthan Royals,AM Rahane,"Sardar Patel Stadium, Motera",Ahmedabad,"AM Rahane, KK Nair, KK Cooper, SV Samson, STR Binny, BCJ Cutting, JP Faulkner, SPD Smith, R Bhatia, DS Kulkarni, PV Tambe","KP Pietersen, MA Agarwal, KD Karthik, JP Duminy, MK Tiwary, LRPL Taylor, KM Jadhav, S Nadeem, Imran Tahir, R Shukla, S Kaul",2014,41,League,runs,62.0,202.0,20.0,N,Rajasthan Royals,Delhi Capitals,1,0,Defending,0,0
Chennai Super Kings,Royal Challengers Bengaluru,2014-05-18,Chennai Super Kings,bat,Royal Challengers Bengaluru,AB de Villiers,JSCA International Stadium Complex,Ranchi,"DR Smith, BB McCullum, SK Raina, DJ Hussey, MS Dhoni, RA Jadeja, M Manhas, R Ashwin, IC Pandey, MM Sharma, S Badree","CH Gayle, PA Patel, V Kohli, AB de Villiers, Yuvraj Singh, S Rana, AN Ahmed, MA Starc, M Muralitharan, YS Chahal, VR Aaron",2014,42,League,wickets,5.0,139.0,20.0,N,Chennai Super Kings,Royal Challengers Bengaluru,0,1,Defending,0,0
Sunrisers Hyderabad,Kolkata Knight Riders,2014-05-18,Sunrisers Hyderabad,bat,Kolkata Knight Riders,UT Yadav,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,"AJ Finch, S Dhawan, NV Ojha, DA Warner, KL Rahul, IK Pathan, DJG Sammy, KV Sharma, DW Steyn, A Mishra, B Kumar","RV Uthappa, G Gambhir, MK Pandey, YK Pathan, RN ten Doeschate, Shakib Al Hasan, SA Yadav, PP Chawla, M Morkel, UT Yadav, SP Narine",2014,43,League,wickets,7.0,143.0,20.0,N,Sunrisers Hyderabad,Kolkata Knight Riders,0,1,Defending,0,0
Rajasthan Royals,Mumbai Indians,2014-05-19,Mumbai Indians,bat,Mumbai Indians,MEK Hussey,"Sardar Patel Stadium, Motera",Ahmedabad,"KK Nair, UBT Chand, SR Watson, SV Samson, KK Cooper, Ankit Sharma, STR Binny, BJ Hodge, JP Faulkner, R Bhatia, DS Kulkarni","MEK Hussey, LMP Simmons, KA Pollard, RG Sharma, AT Rayudu, AP Tare, Harbhajan Singh, JJ Bumrah, K Santokie, PP Ojha, S Gopal",2014,44,League,runs,25.0,179.0,20.0,N,Rajasthan Royals,Mumbai Indians,0,0,Chasing,0,0
Delhi Capitals,Punjab Kings,2014-05-19,Punjab Kings,field,Punjab Kings,AR Patel,Feroz Shah Kotla,Delhi,"M Vijay, KP Pietersen, KD Karthik, JP Duminy, KM Jadhav, MA Agarwal, MK Tiwary, WD Parnell, Mohammed Shami, Imran Tahir, JD Unadkat","V Sehwag, M Vohra, GJ Maxwell, DA Miller, WP Saha, AR Patel, GJ Bailey, R Dhawan, BE Hendricks, Shivam Sharma, Sandeep Sharma",2014,45,League,wickets,4.0,165.0,20.0,N,Delhi Capitals,Punjab Kings,0,0,Defending,0,0
Kolkata Knight Riders,Chennai Super Kings,2014-05-20,Kolkata Knight Riders,field,Kolkata Knight Riders,RV Uthappa,Eden Gardens,Kolkata,"RV Uthappa, G Gambhir, MK Pandey, Shakib Al Hasan, YK Pathan, RN ten Doeschate, SA Yadav, PP Chawla, PJ Cummins, UT Yadav, SP Narine","DR Smith, BB McCullum, SK Raina, F du Plessis, MS Dhoni, RA Jadeja, M Manhas, R Ashwin, IC Pandey, MM Sharma, BW Hilfenhaus",2014,46,League,wickets,7.0,161.0,20.0,N,Kolkata Knight Riders,Chennai Super Kings,1,1,Chasing,1,1
Sunrisers Hyderabad,Royal Challengers Bengaluru,2014-05-20,Royal Challengers Bengaluru,bat,Sunrisers Hyderabad,DA Warner,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,"S Dhawan, DA Warner, NV Ojha, AJ Finch, DJG Sammy, Y Venugopal Rao, IK Pathan, KV Sharma, Parvez Rasool, DW Steyn, B Kumar","CH Gayle, PA Patel, V Kohli, Yuvraj Singh, AB de Villiers, S Rana, MA Starc, M Muralitharan, YS Chahal, AN Ahmed, VR Aaron",2014,47,League,wickets,8.0,155.0,20.0,N,Sunrisers Hyderabad,Royal Challengers Bengaluru,1,0,Chasing,0,1
Punjab Kings,Mumbai Indians,2014-05-21,Mumbai Indians,field,Mumbai Indians,LMP Simmons,"Punjab Cricket Association Stadium, Mohali",Chandigarh,"V Sehwag, M Vohra, SE Marsh, GJ Maxwell, GJ Bailey, WP Saha, AR Patel, R Dhawan, BE Hendricks, Shivam Sharma, Sandeep Sharma","LMP Simmons, MEK Hussey, AT Rayudu, RG Sharma, KA Pollard, AP Tare, JJ Bumrah, K Santokie, P Kumar, PP Ojha, S Gopal",2014,48,League,wickets,7.0,157.0,20.0,N,Punjab Kings,Mumbai Indians,0,0,Defending,0,0
Kolkata Knight Riders,Royal Challengers Bengaluru,2014-05-22,Royal Challengers Bengaluru,field,Kolkata Knight Riders,RV Uthappa,Eden Gardens,Kolkata,"RV Uthappa, G Gambhir, MK Pandey, YK Pathan, Shakib Al Hasan, RN ten Doeschate, SA Yadav, R Vinay Kumar, M Morkel, UT Yadav, SP Narine","CH Gayle, YV Takawale, V Kohli, Yuvraj Singh, AB de Villiers, S Rana, MA Starc, AN Ahmed, AB Dinda, YS Chahal, M Muralitharan",2014,49,League,runs,30.0,196.0,20.0,N,Kolkata Knight Riders,Royal Challengers Bengaluru,1,0,Defending,0,0
Chennai Super Kings,Sunrisers Hyderabad,2014-05-22,Sunrisers Hyderabad,field,Sunrisers Hyderabad,DA Warner,JSCA International Stadium Complex,Ranchi,"DR Smith, F du Plessis, SK Raina, DJ Hussey, MS Dhoni, RA Jadeja, M Manhas, R Ashwin, JW Hastings, MM Sharma, P Negi","DA Warner, S Dhawan, NV Ojha, AJ Finch, DJG Sammy, Y Venugopal Rao, IK Pathan, KV Sharma, Parvez Rasool, DW Steyn, B Kumar",2014,50,League,wickets,6.0,186.0,20.0,N,Chennai Super Kings,Sunrisers Hyderabad,0,0,Defending,0,0
Punjab Kings,Rajasthan Royals,2014-05-23,Rajasthan Royals,field,Punjab Kings,SE Marsh,"Punjab Cricket Association Stadium, Mohali",Chandigarh,"V Sehwag, M Vohra, SE Marsh, WP Saha, DA Miller, GJ Bailey, AR Patel, R Dhawan, Karanveer Singh, BE Hendricks, L Balaji","AM Rahane, KK Nair, SV Samson, SR Watson, STR Binny, R Tewatia, BJ Hodge, JP Faulkner, KK Cooper, VS Malik, PV Tambe",2014,51,League,runs,15.0,174.0,20.0,N,Punjab Kings,Rajasthan Royals,1,0,Defending,0,1
Mumbai Indians,Delhi Capitals,2014-05-23,Delhi Capitals,field,Mumbai Indians,MEK Hussey,Wankhede Stadium,Mumbai,"LMP Simmons, MEK Hussey, RG Sharma, KA Pollard, AT Rayudu, AP Tare, Harbhajan Singh, S Gopal, M de Lange, PP Ojha, JJ Bumrah","M Vijay, KP Pietersen, KD Karthik, MK Tiwary, JP Duminy, KM Jadhav, WD Parnell, S Nadeem, JD Unadkat, S Kaul, Imran Tahir",2014,52,League,runs,16.0,180.0,20.0,N,Mumbai Indians,Delhi Capitals,1,0,Defending,0,1
Royal Challengers Bengaluru,Chennai Super Kings,2014-05-24,Chennai Super Kings,field,Chennai Super Kings,MS Dhoni,M Chinnaswamy Stadium,Bangalore,"RR Rossouw, YV Takawale, VH Zol, V Kohli, Yuvraj Singh, AB de Villiers, S Rana, MA Starc, YS Chahal, R Rampaul, SB Jakati","DR Smith, F du Plessis, SK Raina, MS Dhoni, DJ Hussey, RA Jadeja, M Manhas, R Ashwin, MM Sharma, S Badree, A Nehra",2014,53,League,wickets,8.0,155.0,20.0,N,Royal Challengers Bengaluru,Chennai Super Kings,0,0,Defending,0,0
Kolkata Knight Riders,Sunrisers Hyderabad,2014-05-24,Kolkata Knight Riders,field,Kolkata Knight Riders,YK Pathan,Eden Gardens,Kolkata,"RV Uthappa, G Gambhir, MK Pandey, YK Pathan, RN ten Doeschate, Shakib Al Hasan, SA Yadav, R Vinay Kumar, M Morkel, UT Yadav, SP Narine","DA Warner, S Dhawan, NV Ojha, Y Venugopal Rao, DJG Sammy, S Anirudha, JO Holder, KV Sharma, Parvez Rasool, DW Steyn, B Kumar",2014,54,League,wickets,4.0,161.0,20.0,N,Kolkata Knight Riders,Sunrisers Hyderabad,1,1,Chasing,1,1
Punjab Kings,Delhi Capitals,2014-05-25,Punjab Kings,field,Punjab Kings,M Vohra,"Punjab Cricket Association Stadium, Mohali",Chandigarh,"V Sehwag, M Vohra, GJ Maxwell, DA Miller, GJ Bailey, WP Saha, AR Patel, MG Johnson, R Dhawan, Karanveer Singh, P Awana","KP Pietersen, MA Agarwal, KD Karthik, KM Jadhav, MK Tiwary, JP Duminy, JDS Neesham, S Nadeem, Mohammed Shami, Imran Tahir, JD Unadkat",2014,55,League,wickets,7.0,116.0,20.0,N,Punjab Kings,Delhi Capitals,1,1,Chasing,1,1
Mumbai Indians,Rajasthan Royals,2014-05-25,Mumbai Indians,field,Mumbai Indians,CJ Anderson,Wankhede Stadium,Mumbai,"LMP Simmons, MEK Hussey, CJ Anderson, KA Pollard, RG Sharma, AT Rayudu, AP Tare, Harbhajan Singh, S Gopal, PP Ojha, JJ Bumrah","SR Watson, SV Samson, KK Nair, BJ Hodge, JP Faulkner, KK Cooper, AM Rahane, AM Nayar, Ankit Sharma, PV Tambe, DS Kulkarni",2014,56,League,wickets,5.0,190.0,20.0,N,Mumbai Indians,Rajasthan Royals,1,1,Chasing,1,1
Punjab Kings,Kolkata Knight Riders,2014-05-27,Punjab Kings,field,Kolkata Knight Riders,UT Yadav,Eden Gardens,Kolkata,"V Sehwag, M Vohra, WP Saha, GJ Maxwell, DA Miller, AR Patel, GJ Bailey, R Dhawan, MG Johnson, Karanveer Singh, P Awana","RV Uthappa, G Gambhir, MK Pandey, Shakib Al Hasan, YK Pathan, RN ten Doeschate, SA Yadav, PP Chawla, SP Narine, M Morkel, UT Yadav",2014,57,Qualifier 1,runs,28.0,164.0,20.0,N,Punjab Kings,Kolkata Knight Riders,0,1,Chasing,0,0
Chennai Super Kings,Mumbai Indians,2014-05-28,Chennai Super Kings,field,Chennai Super Kings,SK Raina,Brabourne Stadium,Mumbai,"DR Smith, F du Plessis, SK Raina, BB McCullum, DJ Hussey, MS Dhoni, RA Jadeja, R Ashwin, MM Sharma, IC Pandey, A Nehra","LMP Simmons, MEK Hussey, CJ Anderson, RG Sharma, KA Pollard, AT Rayudu, AP Tare, Harbhajan Singh, P Kumar, PP Ojha, JJ Bumrah",2014,58,Eliminator,wickets,7.0,174.0,20.0,N,Chennai Super Kings,Mumbai Indians,1,1,Chasing,1,1
Chennai Super Kings,Punjab Kings,2014-05-30,Chennai Super Kings,field,Punjab Kings,V Sehwag,Wankhede Stadium,Mumbai,"DR Smith, F du Plessis, SK Raina, BB McCullum, RA Jadeja, DJ Hussey, MS Dhoni, R Ashwin, MM Sharma, IC Pandey, A Nehra","V Sehwag, M Vohra, GJ Maxwell, DA Miller, GJ Bailey, WP Saha, MG Johnson, AR Patel, Karanveer Singh, Sandeep Sharma, P Awana",2014,59,Qualifier 2,runs,24.0,227.0,20.0,N,Chennai Super Kings,Punjab Kings,0,1,Chasing,0,0
Kolkata Knight Riders,Punjab Kings,2014-06-01,Kolkata Knight Riders,field,Kolkata Knight Riders,MK Pandey,M Chinnaswamy Stadium,Bangalore,"RV Uthappa, G Gambhir, MK Pandey, YK Pathan, Shakib Al Hasan, RN ten Doeschate, SA Yadav, PP Chawla, SP Narine, M Morkel, UT Yadav","V Sehwag, M Vohra, GJ Bailey, WP Saha, GJ Maxwell, DA Miller, AR Patel, MG Johnson, L Balaji, Karanveer Singh, P Awana",2014,60,Final,wickets,3.0,200.0,20.0,N,Kolkata Knight Riders,Punjab Kings,1,1,Chasing,1,1
Kolkata Knight Riders,Mumbai Indians,2015-04-08,Kolkata Knight Riders,field,Kolkata Knight Riders,M Morkel,Eden Gardens,Kolkata,"RV Uthappa, G Gambhir, MK Pandey, SA Yadav, YK Pathan, Shakib Al Hasan, AD Russell, PP Chawla, SP Narine, UT Yadav, M Morkel","RG Sharma, AJ Finch, AP Tare, AT Rayudu, CJ Anderson, KA Pollard, Harbhajan Singh, SL Malinga, R Vinay Kumar, JJ Bumrah, PP Ojha",2015,1,League,wickets,7.0,169.0,20.0,N,Kolkata Knight Riders,Mumbai Indians,1,1,Chasing,1,1
Chennai Super Kings,Delhi Capitals,2015-04-09,Delhi Capitals,field,Chennai Super Kings,A Nehra,"MA Chidambaram Stadium, Chepauk",Chennai,"DR Smith, BB McCullum, SK Raina, F du Plessis, RA Jadeja, MS Dhoni, DJ Bravo, R Ashwin, MM Sharma, IC Pandey, A Nehra","MA Agarwal, CM Gautam, JA Morkel, SS Iyer, KM Jadhav, Yuvraj Singh, JP Duminy, NM Coulter-Nile, A Mishra, Imran Tahir, DJ Muthuswami",2015,2,League,runs,1.0,151.0,20.0,N,Chennai Super Kings,Delhi Capitals,1,0,Defending,0,1
Punjab Kings,Rajasthan Royals,2015-04-10,Punjab Kings,field,Rajasthan Royals,JP Faulkner,Maharashtra Cricket Association Stadium,Pune,"V Sehwag, M Vijay, WP Saha, GJ Maxwell, AR Patel, DA Miller, GJ Bailey, MG Johnson, Anureet Singh, Karanveer Singh, Sandeep Sharma","AM Rahane, SV Samson, SPD Smith, KK Nair, STR Binny, DJ Hooda, JP Faulkner, CH Morris, TG Southee, DS Kulkarni, PV Tambe",2015,3,League,runs,26.0,163.0,20.0,N,Punjab Kings,Rajasthan Royals,0,1,Chasing,0,0
Chennai Super Kings,Sunrisers Hyderabad,2015-04-11,Chennai Super Kings,bat,Chennai Super Kings,BB McCullum,"MA Chidambaram Stadium, Chepauk",Chennai,"DR Smith, BB McCullum, SK Raina, MS Dhoni, RA Jadeja, DJ Bravo, F du Plessis, R Ashwin, MM Sharma, IC Pandey, A Nehra","DA Warner, S Dhawan, KL Rahul, NV Ojha, RS Bopara, KS Williamson, KV Sharma, Parvez Rasool, B Kumar, I Sharma, TA Boult",2015,4,League,runs,45.0,210.0,20.0,N,Chennai Super Kings,Sunrisers Hyderabad,1,1,Defending,1,0
Kolkata Knight Riders,Royal Challengers Bengaluru,2015-04-11,Royal Challengers Bengaluru,field,Royal Challengers Bengaluru,CH Gayle,Eden Gardens,Kolkata,"RV Uthappa, G Gambhir, MK Pandey, SA Yadav, YK Pathan, AD Russell, Shakib Al Hasan, PP Chawla, SP Narine, KC Cariappa, M Morkel","CH Gayle, V Kohli, KD Karthik, Mandeep Singh, AB de Villiers, DJG Sammy, SA Abbott, HV Patel, AN Ahmed, YS Chahal, VR Aaron",2015,5,League,wickets,3.0,178.0,20.0,N,Kolkata Knight Riders,Royal Challengers Bengaluru,0,0,Defending,0,0
Mumbai Indians,Punjab Kings,2015-04-12,Mumbai Indians,field,Punjab Kings,GJ Bailey,Wankhede Stadium,Mumbai,"RG Sharma, AJ Finch, AP Tare, AT Rayudu, CJ Anderson, KA Pollard, J Suchith, Harbhajan Singh, R Vinay Kumar, SL Malinga, P Suyal","M Vijay, V Sehwag, GJ Maxwell, DA Miller, GJ Bailey, R Dhawan, MG Johnson, WP Saha, AR Patel, Anureet Singh, Sandeep Sharma",2015,6,League,wickets,3.0,185.0,20.0,N,Mumbai Indians,Punjab Kings,0,1,Chasing,0,0
Delhi Capitals,Rajasthan Royals,2015-04-12,Rajasthan Royals,field,Rajasthan Royals,DJ Hooda,Feroz Shah Kotla,Delhi,"MA Agarwal, SS Iyer, JP Duminy, Yuvraj Singh, AD Mathews, MK Tiwary, KM Jadhav, NM Coulter-Nile, A Mishra, Imran Tahir, JD Unadkat","AM Rahane, SV Samson, SPD Smith, KK Nair, STR Binny, DJ Hooda, JP Faulkner, CH Morris, TG Southee, DS Kulkarni, PV Tambe",2015,7,League,runs,18.0,178.0,20.0,N,Delhi Capitals,Rajasthan Royals,0,0,Defending,0,0
Royal Challengers Bengaluru,Sunrisers Hyderabad,2015-04-13,Sunrisers Hyderabad,field,Sunrisers Hyderabad,DA Warner,M Chinnaswamy Stadium,Bangalore,"CH Gayle, V Kohli, KD Karthik, AB de Villiers, Mandeep Singh, DJG Sammy, SA Abbott, HV Patel, AN Ahmed, VR Aaron, YS Chahal","DA Warner, S Dhawan, KS Williamson, KL Rahul, NV Ojha, RS Bopara, A Ashish Reddy, KV Sharma, P Kumar, B Kumar, TA Boult",2015,8,League,wickets,8.0,167.0,20.0,N,Royal Challengers Bengaluru,Sunrisers Hyderabad,0,0,Defending,0,0
Rajasthan Royals,Mumbai Indians,2015-04-14,Mumbai Indians,bat,Rajasthan Royals,SPD Smith,"Sardar Patel Stadium, Motera",Ahmedabad,"AM Rahane, SV Samson, SPD Smith, DJ Hooda, JP Faulkner, KK Nair, STR Binny, CH Morris, TG Southee, DS Kulkarni, PV Tambe","AJ Finch, PA Patel, UBT Chand, RG Sharma, CJ Anderson, KA Pollard, J Suchith, S Gopal, SL Malinga, R Vinay Kumar, P Suyal",2015,9,League,wickets,7.0,165.0,20.0,N,Rajasthan Royals,Mumbai Indians,1,0,Chasing,0,1
Punjab Kings,Delhi Capitals,2015-04-15,Punjab Kings,bat,Delhi Capitals,MA Agarwal,Maharashtra Cricket Association Stadium,Pune,"M Vijay, V Sehwag, WP Saha, DA Miller, GJ Maxwell, GJ Bailey, AR Patel, R Dhawan, MG Johnson, Anureet Singh, Sandeep Sharma","MA Agarwal, SS Iyer, JP Duminy, Yuvraj Singh, AD Mathews, KM Jadhav, MK Tiwary, NM Coulter-Nile, A Mishra, Imran Tahir, DJ Muthuswami",2015,10,League,wickets,5.0,166.0,20.0,N,Punjab Kings,Delhi Capitals,0,1,Defending,0,0
Sunrisers Hyderabad,Rajasthan Royals,2015-04-16,Rajasthan Royals,field,Rajasthan Royals,AM Rahane,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Visakhapatnam,"DA Warner, S Dhawan, KL Rahul, NV Ojha, EJG Morgan, RS Bopara, A Ashish Reddy, KV Sharma, P Kumar, B Kumar, TA Boult","AM Rahane, SV Samson, SPD Smith, KK Nair, STR Binny, JP Faulkner, DJ Hooda, CH Morris, TG Southee, DS Kulkarni, PV Tambe",2015,11,League,wickets,6.0,128.0,20.0,N,Sunrisers Hyderabad,Rajasthan Royals,0,0,Defending,0,0
Mumbai Indians,Chennai Super Kings,2015-04-17,Mumbai Indians,bat,Chennai Super Kings,A Nehra,Wankhede Stadium,Mumbai,"LMP Simmons, PA Patel, CJ Anderson, RG Sharma, Harbhajan Singh, KA Pollard, AT Rayudu, J Suchith, R Vinay Kumar, SL Malinga, P Suyal","DR Smith, BB McCullum, SK Raina, F du Plessis, MS Dhoni, DJ Bravo, RA Jadeja, R Ashwin, MM Sharma, IC Pandey, A Nehra",2015,12,League,wickets,6.0,184.0,20.0,N,Mumbai Indians,Chennai Super Kings,0,1,Defending,0,0
Punjab Kings,Kolkata Knight Riders,2015-04-18,Kolkata Knight Riders,field,Kolkata Knight Riders,AD Russell,Maharashtra Cricket Association Stadium,Pune,"M Vijay, V Sehwag, WP Saha, GJ Maxwell, GJ Bailey, NLTC Perera, Gurkeerat Singh, AR Patel, MG Johnson, Anureet Singh, Sandeep Sharma","RV Uthappa, G Gambhir, MK Pandey, SA Yadav, YK Pathan, RN ten Doeschate, AD Russell, PP Chawla, SP Narine, M Morkel, UT Yadav",2015,13,League,runs,4.0,168.0,20.0,N,Punjab Kings,Kolkata Knight Riders,0,0,Defending,0,0
