team1,team2,match_date,toss_winner,toss_decision,winner,player_of_match,venue,city,team1_players,team2_players,season,match_number,match_type,result,result_margin,target_runs,target_overs,super_over,Team,Opponent,is_winner,is_toss_winner,team_role,toss_advantage,high_pressure_match
Rajasthan Royals,Royal Challengers Bengaluru,2010-04-14,Rajasthan Royals,bat,Royal Challengers Bengaluru,KP Pietersen,Sawai Mansingh Stadium,Jaipur,"MJ Lumb, NV Ojha, AG Paunikar, SR Watson, AA Jhunjhunwala, YK Pathan, AC Voges, AS Raut, Kamran Khan, SK Warne, SK Trivedi","MK Pandey, JH Kallis, KP Pietersen, RV Uthappa, V Kohli, LRPL Taylor, R Dravid, R Vinay Kumar, Pankaj Singh, A Kumble, DW Steyn",2010,49,League,wickets,5.0,131.0,20.0,N,Royal Challengers Bengaluru,Rajasthan Royals,1,0,Chasing,0,1
Chennai Super Kings,Delhi Capitals,2010-04-15,Chennai Super Kings,bat,Delhi Capitals,G Gambhir,"MA Chidambaram Stadium, Chepauk",Chennai,"M Vijay, ML Hayden, MS Dhoni, SK Raina, MEK Hussey, S Badrinath, JA Morkel, R Ashwin, L Balaji, DE Bollinger, SB Jakati","V Sehwag, DA Warner, TM Dilshan, G Gambhir, KD Karthik, M Manhas, PD Collingwood, A Mishra, A Nehra, DP Nannes, UT Yadav",2010,50,League,wickets,6.0,113.0,20.0,N,Delhi Capitals,Chennai Super Kings,1,0,Chasing,0,1
Punjab Kings,Deccan Chargers,2010-04-16,Deccan Chargers,field,Deccan Chargers,RG Sharma,Himachal Pradesh Cricket Association Stadium,Dharamsala,"DPMD Jayawardene, SE Marsh, KC Sangakkara, Yuvraj Singh, IK Pathan, K Goel, J Theron, RS Sodhi, PP Chawla, SJ Srivastava, VS Malik","AC Gilchrist, MD Mishra, TL Suman, RG Sharma, A Symonds, MR Marsh, B Sumanth, RP Singh, PP Ojha, RJ Harris, R Sharma",2010,51,League,wickets,5.0,175.0,20.0,N,Deccan Chargers,Punjab Kings,1,1,Chasing,1,1
Royal Challengers Bengaluru,Mumbai Indians,2010-04-17,Royal Challengers Bengaluru,field,Mumbai Indians,R McLaren,M Chinnaswamy Stadium,Bangalore,"MK Pandey, JH Kallis, KP Pietersen, R Dravid, RV Uthappa, LRPL Taylor, V Kohli, DW Steyn, R Vinay Kumar, Pankaj Singh, A Kumble","R McLaren, SR Tendulkar, AT Rayudu, KA Pollard, JP Duminy, AM Nayar, SS Tiwary, AP Tare, Harbhajan Singh, Z Khan, CRD Fernando",2010,52,League,runs,57.0,192.0,20.0,N,Mumbai Indians,Royal Challengers Bengaluru,1,0,Defending,0,0
Kolkata Knight Riders,Rajasthan Royals,2010-04-17,Rajasthan Royals,bat,Kolkata Knight Riders,JD Unadkat,Eden Gardens,Kolkata,"SC Ganguly, BB McCullum, CH Gayle, CA Pujara, MK Tiwary, AD Mathews, LR Shukla, JD Unadkat, M Kartik, AB Dinda, SE Bond","SR Watson, NV Ojha, YK Pathan, AJ Finch, AC Voges, AS Raut, P Dogra, FY Fazal, SK Warne, SK Trivedi, Kamran Khan",2010,53,League,wickets,8.0,133.0,20.0,N,Rajasthan Royals,Kolkata Knight Riders,0,1,Defending,0,0
Delhi Capitals,Deccan Chargers,2010-04-18,Deccan Chargers,bat,Deccan Chargers,A Symonds,Feroz Shah Kotla,Delhi,"DA Warner, V Sehwag, TM Dilshan, G Gambhir, M Manhas, PD Collingwood, KD Karthik, A Mishra, A Nehra, DP Nannes, UT Yadav","AC Gilchrist, MD Mishra, TL Suman, RG Sharma, A Symonds, MR Marsh, B Sumanth, WPUJC Vaas, R Sharma, PP Ojha, Harmeet Singh",2010,54,League,wickets,6.0,193.0,20.0,N,Deccan Chargers,Delhi Capitals,1,1,Defending,1,1
Punjab Kings,Chennai Super Kings,2010-04-18,Chennai Super Kings,field,Chennai Super Kings,MS Dhoni,Himachal Pradesh Cricket Association Stadium,Dharamsala,"DPMD Jayawardene, SE Marsh, KC Sangakkara, Yuvraj Singh, IK Pathan, K Goel, J Theron, RR Powar, PP Chawla, S Sohal, VRV Singh","M Vijay, ML Hayden, SK Raina, S Badrinath, MS Dhoni, JA Morkel, JM Kemp, R Ashwin, SB Jakati, DE Bollinger, S Tyagi",2010,55,League,runs,11.0,146.0,20.0,N,Chennai Super Kings,Punjab Kings,1,1,Chasing,1,1
Kolkata Knight Riders,Mumbai Indians,2010-04-19,Mumbai Indians,bat,Kolkata Knight Riders,M Kartik,Eden Gardens,Kolkata,"SC Ganguly, BB McCullum, DJ Hussey, MK Tiwary, AD Mathews, CA Pujara, WP Saha, JD Unadkat, M Kartik, AB Dinda, SE Bond","AP Tare, S Dhawan, SS Tiwary, JP Duminy, R Sathish, DJ Bravo, AT Rayudu, STR Binny, R McLaren, AG Murtaza, CRD Fernando",2010,56,League,wickets,9.0,134.0,20.0,N,Mumbai Indians,Kolkata Knight Riders,0,1,Defending,0,0
Royal Challengers Bengaluru,Mumbai Indians,2010-04-21,Mumbai Indians,bat,Mumbai Indians,KA Pollard,Dr DY Patil Sports Academy,Mumbai,"JH Kallis, R Dravid, KP Pietersen, RV Uthappa, LRPL Taylor, V Kohli, MK Pandey, P Kumar, R Vinay Kumar, DW Steyn, A Kumble","S Dhawan, SR Tendulkar, AM Nayar, AT Rayudu, JP Duminy, SS Tiwary, KA Pollard, Harbhajan Singh, Z Khan, CRD Fernando, SL Malinga",2010,57,Semi Final,runs,35.0,185.0,20.0,N,Mumbai Indians,Royal Challengers Bengaluru,1,1,Defending,1,0
Chennai Super Kings,Deccan Chargers,2010-04-22,Chennai Super Kings,bat,Chennai Super Kings,DE Bollinger,Dr DY Patil Sports Academy,Mumbai,"M Vijay, ML Hayden, SK Raina, S Badrinath, MS Dhoni, JA Morkel, S Anirudha, R Ashwin, SB Jakati, DE Bollinger, M Muralitharan","AC Gilchrist, HH Gibbs, TL Suman, RG Sharma, A Symonds, MD Mishra, B Sumanth, RJ Harris, Harmeet Singh, RP Singh, PP Ojha",2010,58,Semi Final,runs,38.0,143.0,20.0,N,Deccan Chargers,Chennai Super Kings,0,0,Chasing,0,0
Royal Challengers Bengaluru,Deccan Chargers,2010-04-24,Deccan Chargers,bat,Royal Challengers Bengaluru,A Kumble,Dr DY Patil Sports Academy,Mumbai,"JH Kallis, R Dravid, KP Pietersen, RV Uthappa, V Kohli, CL White, B Akhil, P Kumar, A Kumble, ND Doshi, DW Steyn","AC Gilchrist, MD Mishra, Anirudh Singh, RG Sharma, A Symonds, DR Smith, Y Venugopal Rao, RJ Harris, R Sharma, Harmeet Singh, PP Ojha",2010,59,3rd Place Play-Off,wickets,9.0,83.0,20.0,N,Deccan Chargers,Royal Challengers Bengaluru,0,1,Defending,0,0
Chennai Super Kings,Mumbai Indians,2010-04-25,Chennai Super Kings,bat,Chennai Super Kings,SK Raina,Dr DY Patil Sports Academy,Mumbai,"M Vijay, ML Hayden, SK Raina, S Badrinath, MS Dhoni, JA Morkel, S Anirudha, R Ashwin, SB Jakati, DE Bollinger, M Muralitharan","S Dhawan, SR Tendulkar, AM Nayar, Harbhajan Singh, AT Rayudu, SS Tiwary, JP Duminy, KA Pollard, Z Khan, SL Malinga, CRD Fernando",2010,60,Final,runs,22.0,169.0,20.0,N,Mumbai Indians,Chennai Super Kings,0,0,Chasing,0,0
Chennai Super Kings,Kolkata Knight Riders,2011-04-08,Chennai Super Kings,bat,Chennai Super Kings,S Anirudha,"MA Chidambaram Stadium, Chepauk",Chennai,"S Anirudha, M Vijay, SK Raina, MS Dhoni, JA Morkel, SB Styris, S Badrinath, R Ashwin, SB Jakati, TG Southee, S Randiv","MS Bisla, JH Kallis, YK Pathan, MK Tiwary, EJG Morgan, G Gambhir, LR Shukla, R Bhatia, Iqbal Abdulla, L Balaji, S Ladda",2011,1,League,runs,2.0,154.0,20.0,N,Kolkata Knight Riders,Chennai Super Kings,0,0,Chasing,0,0
Deccan Chargers,Rajasthan Royals,2011-04-09,Rajasthan Royals,field,Rajasthan Royals,SK Trivedi,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,"S Dhawan, IR Jaggi, KC Sangakkara, B Chipli, JP Duminy, DT Christian, DB Ravi Teja, DW Steyn, A Mishra, I Sharma, PP Ojha","AG Paunikar, R Dravid, J Botha, LRPL Taylor, AS Raut, AL Menaria, A Singh, JDP Oram, SK Warne, SK Trivedi, STR Binny",2011,2,League,wickets,8.0,138.0,20.0,N,Rajasthan Royals,Deccan Chargers,1,1,Chasing,1,1
Kochi Tuskers Kerala,Royal Challengers Bengaluru,2011-04-09,Kochi Tuskers Kerala,bat,Royal Challengers Bengaluru,AB de Villiers,Nehru Stadium,Kochi,"BB McCullum, VVS Laxman, DPMD Jayawardene, BJ Hodge, RA Jadeja, RV Gomez, PA Patel, M Muralitharan, R Vinay Kumar, RP Singh, S Sreesanth","MA Agarwal, TM Dilshan, V Kohli, AB de Villiers, SS Tiwary, AUK Pathan, CA Pujara, Z Khan, DL Vettori, DP Nannes, A Mithun",2011,3,League,wickets,6.0,162.0,20.0,N,Royal Challengers Bengaluru,Kochi Tuskers Kerala,1,0,Chasing,0,1
